Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,CorrectExplanation,IncorrectExplanation
Section 1,TMC,Which command is used to read data from an Excel file?,1,readtable('data.xlsx'),xlsread('data.xlsx'),importdata('data.xlsx'),load('data.xlsx'),,,,,"The 'readtable' function is designed for reading data from Excel files into table format, providing flexibility.",Incorrect. 'xlsread' is outdated and less efficient.
Section 1,TMC,Which function is used to write a matrix to a text file?,1,"writematrix('data.txt', A)","write('data.txt', A)","textwrite('data.txt', A)","csvwrite('data.txt', A)",,,,,'writematrix' is the preferred function for writing matrices to text files in recent MATLAB versions.,'csvwrite' is for CSV files specifically.
Section 1,TMC,"In Simulink, what does the 'Scope' block do?",1,Visualizes signals,Generates random signals,Stores data,Controls simulation time,,,,,The 'Scope' block is used to visualize the output signals during a simulation.,Incorrect. It does not generate or store data.
Section 1,TMC,What is the purpose of the 'Gain' block in Simulink?,1,To multiply an input signal by a constant,To add two signals,To delay a signal,To filter a signal,,,,,The 'Gain' block scales the input signal by a specified constant value.,Incorrect. It does not perform addition or filtering.
Section 1,TMC,"In Simulink, what does the 'Integrator' block do?",1,Integrates a signal over time,Differentiates a signal,Filters a signal,Adds noise to a signal,,,,,"The 'Integrator' block accumulates the input signal over time, providing the integral of the input.",Incorrect. It does not differentiate or filter signals.
Section 1,TMC,What is the purpose of the 'Gain' block in Simulink?,1,To multiply an input signal by a constant,To add two signals,To delay a signal,To filter a signal,,,,,The 'Gain' block scales the input signal by a specified constant value.,Incorrect. It does not perform addition or filtering.
Section 1,TMC,What is the role of the 'Sum' block in Simulink?,1,To sum multiple input signals,To average input signals,To filter signals,To integrate signals,,,,,"The 'Sum' block adds together multiple input signals, resulting in a single output signal.",Incorrect. It does not average or filter signals.
Section 1,TMC,What is the primary function of the 'Constant' block in Simulink?,1,To output a fixed value,To generate a random number,To filter signals,To integrate signals,,,,,The 'Constant' block outputs a constant value throughout the simulation.,Incorrect. It does not generate random numbers or filter signals.
Section 1,TMC,What does the 'Transfer Fcn' block represent in Simulink?,1,A linear time-invariant system,A non-linear system,A digital filter,A continuous-time signal,,,,,The 'Transfer Fcn' block models linear time-invariant systems using transfer functions.,Incorrect. It does not represent non-linear systems or discrete filters.
Section 1,TMC,What is the role of the 'Sum' block in Simulink?,1,To sum multiple input signals,To average input signals,To filter signals,To integrate signals,,,,,"The 'Sum' block adds together multiple input signals, resulting in a single output signal.",Incorrect. It does not average or filter signals.
Section 1,TMC,What does the 'Step' block in Simulink do?,1,Outputs a step function,Integrates a signal,Generates a sine wave,Filters a signal,,,,,The 'Step' block generates a step function that changes value at a specified time.,Incorrect. It does not integrate or filter signals.
Section 1,TMC,What is the role of the 'Data Store Memory' block in Simulink?,1,To store data that can be accessed by multiple blocks,To filter signals,To integrate signals,To generate random data,,,,,The 'Data Store Memory' block allows for data storage that can be shared among various blocks in the model.,Incorrect. It does not filter or generate data.
Section 1,TMC,What does the 'Gain' block in Simulink do?,1,Multiplies an input signal by a constant,Adds two signals,Delays a signal,Filters a signal,,,,,"The 'Gain' block scales the input signal by a specified constant value, modifying its amplitude.",Incorrect. It does not perform addition or filtering.
Section 1,TMC,What does the 'Scope' block do in Simulink?,1,Visualizes signals during simulation,Generates signals,Stores data,Controls simulation time,,,,,"The 'Scope' block allows users to visualize the output signals during a simulation, helping in analysis.",Incorrect. It does not generate or store data.
Section 1,TMC,What is the primary function of the 'Constant' block in Simulink?,1,Outputs a fixed value,Generates a random number,Filters signals,Integrates signals,,,,,"The 'Constant' block outputs a constant value throughout the simulation, useful for testing.",Incorrect. It does not generate random numbers or filter signals.
Section 1,TMC,What does the 'Transfer Fcn' block represent in Simulink?,1,A linear time-invariant system,A non-linear system,A digital filter,A continuous-time signal,,,,,The 'Transfer Fcn' block models linear time-invariant systems using transfer functions.,Incorrect. It does not represent non-linear systems or discrete filters.
Section 1,TMC,What does the 'Integrator' block do in Simulink?,1,Integrates a signal over time,Differentiates a signal,Adds noise to a signal,Filters a signal,,,,,"The 'Integrator' block accumulates the input signal over time, providing the integral of the input.",Incorrect. It does not differentiate or add noise.
Section 1,TMC,What does the 'Sum' block in Simulink do?,1,Sums multiple input signals,Averages multiple input signals,Filters signals,Integrates signals,,,,,"The 'Sum' block adds together multiple input signals, resulting in a single output signal.",Incorrect. It does not average or filter signals.
